1,77
2,78
3,81
4,162430
5,82
6,83
7,84
8,85
9,72
10,73
11,74
12,90
13,88
14,89
15,91
16,92
17,160999
18,345425
19,94
20,95
21,96
22,97
23,98
24,93
25,154175
26,128
27,129
28,210
29,134
30,135
31,136
32,137
33,207
34,138
35,132
36,209
37,111
38,112
39,214
40,114
41,178
42,80
43,215
44,157678
45,113
46,203
47,205
48,206
49,110
50,105
51,103
52,106
53,109
54,104
55,107
56,108
57,100
58,123
59,117
60,118
61,121
62,120
63,122
64,116
65,125
66,222
67,223
68,119
69,127
70,131
71,178686
72,139
73,140
74,141
75,142
76,143
77,144
78,145
79,163784
80,146
81,147
82,159746
83,149
84,154
85,167805
86,208
87,150
88,153
89,155
90,156
91,158
92,160
93,164597
94,157
95,161
96,157628
97,157629
98,164
99,165
100,166
101,167
102,168
103,169
104,204
105,170
106,171
107,172
108,173
109,130
110,176
111,174
112,175
113,179
114,177
115,180
116,213
117,117033
118,183
119,184
120,186
121,187
122,216
123,218
124,220
125,221
126,219
127,124
128,168109
129,150590
130,212
131,211
132,185
133,175063
134,191
135,189
136,193
137,194
138,196
139,195
140,197
141,199
142,200
143,99
144,188
145,201
146,198
147,101
148,102
149,202
150,126
151,115
152,152
153,87
154,76
155,86
156,79
157,75
158,205550
159,181
160,182
161,163
162,217
163,151
164,159
165,360247
166,162
167,194348
168,192825
169,133
170,153424
171,221797
172,148
173,192609
174,191778
175,190
176,218572
177,269102
178,300147
179,301347
180,251264
181,227248
182,211524
183,211526
184,211525
185,211527
186,211528
187,2877
188,211529
189,211530
190,211532
191,249061
192,252906
193,2459
194,306716
195,313153
196,345534
197,384246
198,375265
199,380627
200,310630
201,330686
202,330687
203,211531
204,410725
205,375122
206,368333
207,2694
208,2843
209,256652
210,364752
211,410741
212,364753
213,330697
214,370979
215,371216
216,318836
217,330688
218,330690
219,330691
220,330692
221,330693
222,330694
223,330695
224,330696
225,367228
226,378278
227,410724
228,410740
229,410746
230,410748
231,410749
232,410750
233,414769
234,2830
235,269562
236,320642
237,429707
238,2874
239,473568
240,416739
241,2870
242,442885
243,439512
244,382377
245,494968
246,317857
247,363453
248,3126
249,491910
250,431288
251,562890
252,3085
253,508883
254,390057
255,3194
256,677709
257,522433
258,68
259,69
260,71
261,662271
262,600458
263,501770
264,562813
265,562815
266,562814
267,2524
268,593441
269,695275
